title,release_year,runtime
Legends of the Fall,1994.0,133.0
Major Payne,1995.0,95.0
Little Odessa,1994.0,98.0
Mi Vida Loca,1994.0,92.0
Love Affair,1994.0,108.0
Losing Isaiah,1995.0,106.0
The Madness of King George,1994.0,107.0
Mary Shelley's Frankenstein,1994.0,123.0
Man of the House,1995.0,96.0
Mixed Nuts,1994.0,97.0
Milk Money,1994.0,108.0
Miracle on 34th Street,1994.0,114.0
Miami Rhapsody,1995.0,95.0
My Family,1995.0,128.0
Murder in the First,1995.0,122.0
Nobody's Fool,1994.0,110.0
Nell,1994.0,112.0
New Jersey Drive,1995.0,98.0
New York Cop,1993.0,93.0
Beyond Bedlam,1994.0,89.0
Nemesis 2 - Nebula,1995.0,83.0
Nina Takes a Lover,1995.0,100.0
Natural Born Killers,1994.0,119.0
Only You,1994.0,115.0
Once Were Warriors,1994.0,99.0
Poison Ivy II: Lily,1996.0,106.0
Outbreak,1995.0,127.0
Leon: The Professional,1994.0,110.0
The Perez Family,1995.0,113.0
A Pyromaniac's Love Story,1995.0,94.0
Pulp Fiction,1994.0,154.0
Panther,1995.0,124.0
Pushing Hands,1992.0,105.0
Priest,1994.0,98.0
Quiz Show,1994.0,133.0
Picture Bride,1995.0,94.0
Queen Margot,1994.0,162.0
The Quick and the Dead,1995.0,107.0
Roommates,1995.0,108.0
Prêt-à-Porter,1994.0,133.0
Three Colors: Red,1994.0,99.0
Three Colors: Blue,1993.0,98.0
Three Colors: White,1994.0,91.0
"Red Firecracker, Green Firecracker",1994.0,111.0
Rent-a-Kid,1995.0,85.0
Relative Fear,1995.0,90.0
Stuart Saves His Family,1995.0,95.0
The Swan Princess,1994.0,89.0
The Secret of Roan Inish,1994.0,97.0
The Specialist,1994.0,110.0
Stargate,1994.0,121.0
The Santa Clause,1994.0,97.0
The Shawshank Redemption,1994.0,142.0
Shallow Grave,1994.0,92.0
Suture,1993.0,96.0
Strawberry and Chocolate,1993.0,108.0
Swimming with Sharks,1994.0,101.0
The Sum of Us,1994.0,100.0
Senior Trip,1995.0,91.0
To Live,1994.0,125.0
Tank Girl,1995.0,98.0
Tales from the Crypt: Demon Knight,1995.0,92.0
Star Trek: Generations,1994.0,118.0
Tales from the Hood,1995.0,98.0
Tom & Viv,1994.0,115.0
Village of the Damned,1995.0,99.0
Tommy Boy,1995.0,97.0
Vanya on 42nd Street,1994.0,119.0
The Underneath,1995.0,99.0
The Walking Dead,1995.0,88.0
What's Eating Gilbert Grape,1993.0,118.0
Virtuosity,1995.0,106.0
While You Were Sleeping,1995.0,103.0
The War,1994.0,126.0
Double Happiness,1994.0,87.0
Muriel's Wedding,1994.0,106.0
The Baby-Sitters Club,1995.0,94.0
Ace Ventura: Pet Detective,1994.0,86.0
"The Adventures of Priscilla, Queen of the Desert",1994.0,104.0
Backbeat,1994.0,100.0
Bitter Moon,1992.0,139.0
Bullets Over Broadway,1994.0,98.0
Clear and Present Danger,1994.0,141.0
The Client,1994.0,119.0
"Corrina, Corrina",1994.0,115.0
Crooklyn,1994.0,115.0
The Crow,1994.0,102.0
Cobb,1994.0,128.0
The Flintstones,1994.0,91.0
Forrest Gump,1994.0,142.0
Four Weddings and a Funeral,1994.0,117.0
Higher Learning,1995.0,127.0
I Like It Like That,1994.0,104.0
I Love Trouble,1994.0,123.0
It Could Happen to You,1994.0,101.0
The Jungle Book,1994.0,111.0
"The Wonderful, Horrible Life of Leni Riefenstahl",1993.0,180.0
The Lion King,1994.0,89.0
Little Buddha,1993.0,140.0
New Nightmare,1994.0,112.0
The Mask,1994.0,101.0
Maverick,1994.0,127.0
Mrs. Parker and the Vicious Circle,1994.0,125.0
The Naked Gun 33⅓: The Final Insult,1994.0,83.0
The Paper,1994.0,112.0
Reality Bites,1994.0,99.0
Red Rock West,1993.0,98.0
Ri¢hie Ri¢h,1994.0,95.0
Safe Passage,1994.0,98.0
The River Wild,1994.0,111.0
Speed,1994.0,116.0
Speechless,1994.0,99.0
Timecop,1994.0,99.0
True Lies,1994.0,141.0
When a Man Loves a Woman,1994.0,126.0
Wolf,1994.0,125.0
Wyatt Earp,1994.0,191.0
Bad Company,1995.0,108.0
A Man of No Importance,1994.0,99.0
S.F.W.,1994.0,96.0
A Low Down Dirty Shame,1994.0,100.0
"Boys Life: Three Stories of Love, Lust, and Liberation",1994.0,91.0
Colonel Chabert,1994.0,110.0
"Faster, Pussycat! Kill! Kill!",1965.0,83.0
Jason's Lyric,1994.0,119.0
The Secret Adventures of Tom Thumb,1993.0,61.0
Street Fighter,1994.0,102.0
Coldblooded,1995.0,92.0
Desert Winds,1997.0,97.0
Fall Time,1995.0,88.0
The Fear,1995.0,98.0
Frank and Ollie,1995.0,89.0
Girl in the Cadillac,1995.0,89.0
Homage,1995.0,97.0
Mirage,1995.0,92.0
Open Season,1996.0,97.0
Dos Crímenes,1995.0,0.0
Brother Minister: The Assassination of Malcolm X,1995.0,115.0
Highlander: The Final Dimension,1994.0,99.0
Federal Hill,1995.0,97.0
In the Mouth of Madness,1994.0,95.0
8 Seconds,1994.0,105.0
Above the Rim,1994.0,96.0
Addams Family Values,1993.0,94.0
Martin Lawrence: You So Crazy,1994.0,84.0
The Age of Innocence,1993.0,139.0
Airheads,1994.0,92.0
The Air Up There,1994.0,107.0
Another Stakeout,1993.0,105.0
Bad Girls,1994.0,99.0
Barcelona,1994.0,100.0
Being Human,1994.0,122.0
The Beverly Hillbillies,1993.0,93.0
Beverly Hills Cop III,1994.0,104.0
Black Beauty,1994.0,88.0
Blink,1994.0,106.0
Blown Away,1994.0,121.0
Blue Chips,1994.0,108.0
Blue Sky,1994.0,101.0
Body Snatchers,1993.0,87.0
Boxing Helena,1993.0,107.0
A Bronx Tale,1993.0,121.0
Cabin Boy,1994.0,80.0
Calendar Girl,1993.0,90.0
Carlito's Way,1993.0,144.0
City Slickers II: The Legend of Curly's Gold,1994.0,116.0
Clean Slate,1994.0,107.0
Cliffhanger,1993.0,112.0
Coneheads,1993.0,88.0
Color of Night,1994.0,121.0
Cops & Robbersons,1994.0,93.0
The Cowboy Way,1994.0,102.0
Dangerous Game,1993.0,108.0
Dave,1993.0,110.0
Dazed and Confused,1993.0,102.0
Demolition Man,1993.0,115.0
The Endless Summer 2,1994.0,109.0
Even Cowgirls Get the Blues,1994.0,96.0
Fatal Instinct,1993.0,91.0
Farewell My Concubine,1993.0,171.0
The Favor,1994.0,97.0
Fearless,1993.0,122.0
Fear of a Black Hat,1994.0,88.0
With Honors,1994.0,103.0
Flesh and Bone,1993.0,126.0
Widows' Peak,1994.0,101.0
For Love or Money,1993.0,94.0
The Firm,1993.0,154.0
Free Willy,1993.0,112.0
Fresh,1994.0,114.0
The Fugitive,1993.0,130.0
Geronimo: An American Legend,1993.0,115.0
The Getaway,1994.0,115.0
Getting Even with Dad,1994.0,109.0
Go Fish,1994.0,83.0
A Good Man in Africa,1994.0,94.0
Guilty as Sin,1993.0,107.0
Hard Target,1993.0,97.0
Heaven & Earth,1993.0,140.0
Hot Shots! Part Deux,1993.0,86.0
Live Nude Girls,1995.0,95.0
The Englishman Who Went Up a Hill But Came Down a Mountain,1995.0,99.0
The House of the Spirits,1993.0,140.0
House Party 3,1994.0,100.0
The Hudsucker Proxy,1994.0,111.0
I'll Do Anything,1994.0,115.0
In the Army Now,1994.0,91.0
In the Line of Fire,1993.0,128.0
In the Name of the Father,1993.0,133.0
The Inkwell,1994.0,110.0
What's Love Got to Do with It,1993.0,118.0
Jimmy Hollywood,1994.0,112.0
Judgment Night,1993.0,110.0
Jurassic Park,1993.0,127.0
Kalifornia,1993.0,117.0
Killing Zoe,1993.0,96.0
King of the Hill,1993.0,103.0
Lassie,1994.0,94.0
Last Action Hero,1993.0,130.0
Life With Mikey,1993.0,91.0
Lightning Jack,1994.0,98.0
M. Butterfly,1993.0,101.0
Made in America,1993.0,111.0
Malice,1993.0,107.0
The Man without a Face,1993.0,114.0
Manhattan Murder Mystery,1993.0,104.0
Menace II Society,1993.0,97.0
Executive Decision,1996.0,133.0
In the Realm of the Senses,1976.0,105.0
What Happened Was...,1994.0,91.0
Much Ado About Nothing,1993.0,111.0
Mr. Jones,1993.0,114.0
Mr. Wonderful,1993.0,98.0
Mrs. Doubtfire,1993.0,125.0
Naked,1993.0,131.0
The Next Karate Kid,1994.0,107.0
The New Age,1994.0,112.0
No Escape,1994.0,118.0
North,1994.0,87.0
Orlando,1992.0,93.0
A Perfect World,1993.0,138.0
Philadelphia,1993.0,125.0
The Piano,1993.0,121.0
Poetic Justice,1993.0,109.0
The Program,1993.0,112.0
The Puppet Masters,1994.0,109.0
Radioland Murders,1994.0,108.0
The Ref,1994.0,97.0
The Remains of the Day,1993.0,134.0
Renaissance Man,1994.0,128.0
Rising Sun,1993.0,125.0
The Road to Wellville,1994.0,118.0
RoboCop 3,1993.0,104.0
Robin Hood: Men in Tights,1993.0,104.0
Romeo Is Bleeding,1993.0,100.0
Romper Stomper,1992.0,94.0
Ruby in Paradise,1993.0,114.0
Rudy,1993.0,114.0
The Saint of Fort Washington,1993.0,99.0
Savage Nights,1992.0,126.0
Schindler's List,1993.0,195.0
The Scout,1994.0,101.0
Searching for Bobby Fischer,1993.0,110.0
Second Best,1994.0,105.0
The Secret Garden,1993.0,102.0
Serial Mom,1994.0,95.0
The Shadow,1994.0,108.0
Shadowlands,1993.0,131.0
Short Cuts,1993.0,187.0
A Simple Twist of Fate,1994.0,106.0
Sirens,1993.0,98.0
Six Degrees of Separation,1993.0,112.0
Sleepless in Seattle,1993.0,105.0
Sliver,1993.0,108.0
Blade Runner,1982.0,117.0
Son in Law,1993.0,95.0
So I Married an Axe Murderer,1993.0,93.0
Striking Distance,1993.0,102.0
Harem,1985.0,113.0
Super Mario Bros.,1993.0,104.0
Surviving the Game,1994.0,96.0
Terminal Velocity,1994.0,102.0
Thirty Two Short Films About Glenn Gould,1993.0,93.0
Threesome,1994.0,93.0
The Nightmare Before Christmas,1993.0,76.0
The Three Musketeers,1993.0,105.0
Tombstone,1993.0,130.0
Trial by Jury,1994.0,107.0
True Romance,1993.0,120.0
The War Room,1993.0,96.0
The Pagemaster,1994.0,80.0
"Paris, France",1994.0,112.0
"The Beans of Egypt, Maine",1994.0,0.0
Killer,1994.0,97.0
Welcome to the Dollhouse,1995.0,88.0
Germinal,1993.0,160.0
Chasers,1994.0,102.0
Cronos,1993.0,94.0
Naked in New York,1993.0,95.0
Kika,1993.0,117.0
Bhaji on the Beach,1994.0,100.0
Little Big League,1994.0,119.0
The Slingshot,1993.0,102.0
Wide Eyed and Legless,1993.0,102.0
Foreign Student,1994.0,90.0
"Ciao, Professore!",1992.0,100.0
Spanking the Monkey,1994.0,106.0
The Little Rascals,1994.0,82.0
À la mode,1993.0,82.0
Andre,1994.0,94.0
The Escort,1993.0,92.0
Princess Caraboo,1994.0,97.0
The Celluloid Closet,1996.0,102.0
Café au Lait,1993.0,94.0
Dear Diary,1993.0,100.0
I Don't Want to Talk About It,1993.0,106.0
The Brady Bunch Movie,1995.0,84.0
Home Alone,1990.0,103.0
Ghost,1990.0,127.0
Aladdin,1992.0,90.0
Terminator 2: Judgment Day,1991.0,137.0
Dances with Wolves,1990.0,181.0
Tough and Deadly,1995.0,92.0
Batman,1989.0,126.0
The Silence of the Lambs,1991.0,119.0
Snow White and the Seven Dwarfs,1937.0,83.0
Beauty and the Beast,1991.0,84.0
Pinocchio,1940.0,88.0
Pretty Woman,1990.0,119.0
Window to Paris,1993.0,87.0
The Wild Bunch,1969.0,145.0
Love and a .45,1994.0,101.0
The Wooden Man's Bride,1994.0,113.0
A Great Day in Harlem,1994.0,60.0
Bye Bye Love,1995.0,106.0
One Fine Day,1996.0,108.0
Candyman: Farewell to the Flesh,1995.0,93.0
Century,1993.0,112.0
Fargo,1996.0,98.0
Homeward Bound II: Lost in San Francisco,1996.0,89.0
Heavy Metal,1981.0,90.0
Hellraiser: Bloodline,1996.0,86.0
The Pallbearer,1996.0,97.0
Jane Eyre,1996.0,112.0
Loaded,1996.0,91.0
Bread and Chocolate,1974.0,100.0
The Aristocats,1970.0,78.0
The Flower of My Secret,1995.0,107.0
Two Much,1996.0,118.0
Ed,1996.0,94.0
Scream of Stone,1991.0,105.0
My Favorite Season,1993.0,127.0
A Modern Affair,1996.0,90.0
Condition Red,1995.0,83.0
Halfaouine: Boy of the Terraces,1990.0,98.0
A Thin Line Between Love and Hate,1996.0,108.0
The Last Supper,1995.0,92.0
Primal Fear,1996.0,129.0
Rude,1995.0,89.0
Carried Away,1996.0,109.0
All Dogs Go to Heaven 2,1996.0,82.0
Land and Freedom,1995.0,109.0
Denise Calls Up,1995.0,80.0
Theodore Rex,1995.0,92.0
A Family Thing,1996.0,109.0
Frisk,1996.0,88.0
Sgt. Bilko,1996.0,90.0
Jack & Sarah,1995.0,110.0
Girl 6,1996.0,108.0
Diabolique,1996.0,107.0
"Little Indian, Big City",1994.0,90.0
Roula,1995.0,97.0
Peanuts – Die Bank zahlt alles,1996.0,
Happy Weekend,1996.0,
Nelly and Monsieur Arnaud,1996.0,106.0
Courage Under Fire,1996.0,117.0
Mission: Impossible,1996.0,110.0
Cold Fever,1995.0,85.0
Moll Flanders,1996.0,123.0
The Superwife,1996.0,86.0
"301, 302",1995.0,100.0
DragonHeart,1996.0,103.0
Und keiner weint mir nach,1996.0,
My Mother's Courage,1995.0,93.0
Eddie,1996.0,100.0
Yankee Zulu,1993.0,100.0
Billy's Holiday,1995.0,92.0
Purple Noon,1960.0,115.0
August,1996.0,94.0
James and the Giant Peach,1996.0,79.0
Fear,1996.0,97.0
Kids in the Hall: Brain Candy,1996.0,89.0
Faithful,1996.0,91.0
Underground,1995.0,170.0
All Things Fair,1995.0,130.0
Bloodsport II,1996.0,90.0
Pather Panchali,1955.0,125.0
The World of Apu,1959.0,117.0
Mystery Science Theater 3000: The Movie,1996.0,73.0
Tarantella,1996.0,100.0
Space Jam,1996.0,88.0
Barbarella,1968.0,98.0
Hostile Intentions,1995.0,90.0
They Bite,1996.0,98.0
Some Folks Call It a Sling Blade,1994.0,25.0
The Run of the Country,1995.0,0.0
Alphaville,1965.0,100.0
Coup de Torchon,1981.0,128.0
Tigrero: A Film That Was Never Made,1994.0,75.0
The Eye of Vichy,1993.0,110.0
Windows,1980.0,96.0
It's My Party,1996.0,110.0
Country Life,1994.0,118.0
Operation Dumbo Drop,1995.0,107.0
The Promise,1995.0,115.0
Mrs. Winterbourne,1996.0,105.0
Solo,1996.0,94.0
Under The Domim Tree,1994.0,0.0
The Substitute,1996.0,114.0
True Crime,1996.0,94.0
Butterfly Kiss,1995.0,88.0
Feeling Minnesota,1996.0,99.0
Delta of Venus,1995.0,99.0
To Cross the Rubicon,1991.0,0.0
Angus,1995.0,90.0
Priest Daens,1992.0,138.0
Faces,1968.0,130.0
Boys,1996.0,86.0
The Quest,1996.0,95.0
Cosi,1996.0,102.0
Sunset Park,1996.0,99.0
Mulholland Falls,1996.0,107.0
The Truth About Cats & Dogs,1996.0,93.0
Oliver & Company,1988.0,74.0
Celtic Pride,1996.0,91.0
Flipper,1996.0,95.0
Captives,1994.0,100.0
Of Love and Shadows,1994.0,103.0
Dead Man,1995.0,121.0
The Horseman on the Roof,1995.0,135.0
Switchblade Sisters,1975.0,91.0
Mouth to Mouth,1995.0,106.0
The Visitors,1993.0,107.0
Multiplicity,1996.0,117.0
"The Haunted World of Edward D. Wood, Jr.",1996.0,112.0
Two Friends,2002.0,86.0
The Craft,1996.0,101.0
The Great White Hype,1996.0,91.0
Last Dance,1996.0,103.0
Cold Comfort Farm,1995.0,95.0
"Institute Benjamenta, or This Dream People Call Human Life",1995.0,104.0
Heaven's Prisoners,1996.0,132.0
Original Gangstas,1996.0,99.0
The Rock,1996.0,136.0
Getting Away with Murder,1996.0,91.0
Cemetery Man,1994.0,105.0
Twister,1996.0,113.0
Barb Wire,1996.0,98.0
Le Garçu,1995.0,102.0
Honeymoon,1996.0,92.0
Ghost in the Shell,1995.0,83.0
Thinner,1996.0,92.0
Spy Hard,1996.0,81.0
Brothers in Trouble,1995.0,102.0
A Close Shave,1995.0,30.0
Force of Evil,1948.0,78.0
The Stupids,1996.0,94.0
The Arrival,1996.0,115.0
The Man from Down Under,1943.0,103.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,95.0
Careful,1992.0,100.0
A Month by the Lake,1995.0,92.0
Gold Diggers: The Secret of Bear Mountain,1995.0,94.0
Kim,1950.0,113.0
Carmen Miranda: Bananas Is My Business,1995.0,91.0
Ashes of Time,1994.0,100.0
The Jar,1994.0,86.0
Maya Lin: A Strong Clear Vision,1995.0,105.0
Stalingrad,1993.0,134.0
The Phantom,1996.0,100.0
Striptease,1996.0,115.0
The Last of the High Kings,1996.0,102.0
Heavy,1995.0,105.0
Jack,1996.0,113.0
I Shot Andy Warhol,1996.0,103.0
The Grass Harp,1995.0,107.0
Someone Else's America,1995.0,96.0
Life is Rosy,1987.0,80.0
Quartier Mozart,1992.0,80.0
Touki Bouki,1973.0,85.0
God's Gift,1982.0,75.0
Spirits of the Dead,1968.0,121.0
Babyfever,1994.0,109.0
Pharaoh's  Army,1995.0,90.0
Trainspotting,1996.0,93.0
Til There Was You,1997.0,113.0
Independence Day,1996.0,145.0
Stealing Beauty,1996.0,116.0
The Fan,1996.0,116.0
The Hunchback of Notre Dame,1996.0,91.0
The Cable Guy,1996.0,96.0
Kingpin,1996.0,113.0
Eraser,1996.0,115.0
The Gate of Heavenly Peace,1995.0,180.0
The Nutty Professor,1996.0,95.0
"I, the Worst of All",1990.0,105.0
An Unforgettable Summer,1994.0,82.0
A Hungarian Fairy Tale,1987.0,97.0
My Life and Times With Antonin Artaud,1993.0,90.0
Midnight Dancers,1994.0,100.0
Somebody to Love,1994.0,102.0
A Very Natural Thing,1974.0,80.0
The Old Lady Who Walked in the Sea,1991.0,0.0
Daylight,1996.0,115.0
The Frighteners,1996.0,110.0
Lone Star,1996.0,135.0
Harriet the Spy,1996.0,100.0
Phenomenon,1996.0,123.0
Walking and Talking,1996.0,86.0
She's the One,1996.0,96.0
A Time to Kill,1996.0,149.0
American Buffalo,1996.0,88.0
Rendezvous in Paris,1995.0,94.0
Alaska,1996.0,109.0
Fled,1996.0,98.0
Kazaam,1996.0,93.0
Magic Hunter,1994.0,106.0
Larger Than Life,1996.0,93.0
A Boy Called Hate,1996.0,0.0
Power 98,1996.0,89.0
Two Deaths,1995.0,102.0
A Very Brady Sequel,1996.0,90.0
Stefano Quantestorie,1993.0,82.0
Death in the Garden,1956.0,104.0
Hedd Wyn,1992.0,123.0
La Collectionneuse,1967.0,89.0
Kaspar Hauser,1993.0,139.0
Regular Guys,1996.0,100.0
Diebinnen,1996.0,
